Time[s],Rotational_speed[rpm],Status
0000.0000,10.89,1
0000.1639,10.88,1
0000.3278,10.88,1
0000.4917,10.88,1
0000.6556,10.88,1
0000.8194,10.89,1
0000.9833,10.88,1
0001.1472,10.88,1
0001.3111,10.88,1
0001.4750,10.88,1
0001.6389,10.88,1
0001.8028,10.88,1
0001.9667,10.87,1
0002.1306,10.87,1
0002.2945,10.87,1
0002.4583,10.87,1
0002.6222,10.87,1
0002.7861,10.87,1
0002.9500,10.87,1
0003.1139,10.87,1
0003.2778,10.87,1
0003.4417,10.88,1
0003.6056,10.88,1
0003.7695,10.87,1
0003.9334,10.87,1
0004.0972,10.87,1
0004.2611,10.87,1
0004.4250,10.88,1
0004.5889,10.87,1
0004.7528,10.87,1
0004.9167,10.87,1
0005.0806,10.87,1
0005.2445,10.87,1
0005.4084,10.87,1
0005.5722,10.86,1
0005.7361,10.86,1
0005.9000,10.86,1
0006.0639,10.86,1
0006.2278,10.86,1
0006.3917,10.86,1
0006.5556,10.86,1
0006.7195,10.86,1
0006.8834,10.86,1
0007.0473,10.85,1
0007.2111,10.85,1
0007.3750,10.85,1
0007.5389,10.85,1
0007.7028,10.85,1
0007.8667,10.85,1
0008.0306,10.85,1
0008.1945,10.85,1
0008.3584,10.85,1
0008.5223,10.84,1
0008.6862,10.84,1
0008.8500,10.84,1
0009.0139,10.84,1
0009.1778,10.84,1
0009.3417,10.84,1
0009.5056,10.83,1
0009.6695,10.83,1
0009.8334,10.84,1
0009.9973,10.84,1
0010.1612,10.84,1
0010.3250,10.84,1
0010.4889,10.83,1
0010.6528,10.83,1
0010.8167,10.84,1
0010.9806,10.84,1
0011.1445,10.83,1
0011.3084,10.83,1
0011.4723,10.83,1
0011.6362,10.83,1
0011.8001,10.83,1
0011.9639,10.83,1
0012.1278,10.83,1
0012.2917,10.83,1
0012.4556,10.83,1
0012.6195,10.83,1
0012.7834,10.83,1
0012.9473,10.83,1
0013.1112,10.83,1
0013.2751,10.83,1
0013.4390,10.83,1
0013.6028,10.84,1
0013.7667,10.84,1
0013.9306,10.84,1
0014.0945,10.84,1
0014.2584,10.84,1
0014.4223,10.84,1
0014.5862,10.85,1
0014.7501,10.85,1
0014.9140,10.85,1
0015.0778,10.85,1
0015.2417,10.85,1
0015.4056,10.86,1
0015.5695,10.86,1
0015.7334,10.86,1
0015.8973,10.86,1
0016.0612,10.86,1
0016.2251,10.87,1
0016.3890,10.87,1
0016.5529,10.87,1
0016.7167,10.87,1
0016.8806,10.87,1
